price,landsize,address,park,bed,bath,longitude,latitude,date,property_type
"$956,000",Land area 722 m2,"13 Altona Street, Heidelberg Heights VIC 3081",2,4,1,145.056458,-37.74768,Sold at auction 20 August 2016,House
"$876,000
        price from APM PriceFinder",Land area 560 m2,"16 Shakespeare Grove, Heidelberg Heights VIC 3081",2,4,2,145.055573,-37.7365646,Sold at auction 19 March 2016,House
"$781,000",Land area 725 m2,"9 Bamfield Road, Heidelberg Heights VIC 3081",2,4,2,145.054886,-37.7434235,Sold at auction 05 March 2016,House
"$967,500",Land area 570 m2,"67 Altona Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.0507,-37.74708,Sold at auction 29 August 2015,House
"$600,000",Land area 500 m2,"1/160 Porter Road, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.0592,-37.73238,Sold at auction 28 February 2015,House
"$657,000",Land area 140 m2,"1/100 Edwin Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.051163,-37.7500648,Sold at auction 27 February 2015,Townhouse
"$773,000
        price from APM PriceFinder",Land area 652 m2,"6 James Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.054367,-37.75044,Sold at auction 06 December 2014,House
"$613,500",Land area 778 m2,"8 Eden Street, HEIDELBERG HEIGHTS VIC 3081",2,4,1,145.047516,-37.7511444,Sold by private treaty 22 May 2014,House
"$985,000
        price from APM PriceFinder",Land area 631 m2,"56 Dresden Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.0557,-37.74876,Sold at auction 10 May 2014,House
"$760,000",Land area 926 m2,"51 Waiora Road, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.058182,-37.74275,Sold at auction 22 March 2014,House
"$460,000",Land area 600 m2,"19 Marie Avenue, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.049316,-37.7376442,Sold by private treaty 20 February 2014,House
"$595,000",Land area 730 m2,"134 Edwin Street, HEIDELBERG HEIGHTS VIC 3081",2,4,1,145.051346,-37.74719,Sold at auction 31 August 2013,House
"$712,000",Land area 695 m2,"7 Chauvel Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.056961,-37.7454147,Sold at auction 03 August 2013,House
"$575,000",Land area 588 m2,"13 Flinders Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.0518,-37.7367935,Sold by private treaty 17 May 2013,House
"$480,000",Land area 587 m2,"84 Southern Road, HEIDELBERG HEIGHTS VIC 3081",2,4,1,145.04982,-37.74208,Sold at auction 01 December 2012,House
"$1,550,000",Land area 1148 m2,"40 Forster Street, HEIDELBERG HEIGHTS VIC 3081",2,4,3,145.051758,-37.7547226,Sold at auction 28 November 2009,House
"$547,500
        price from APM PriceFinder",Land area 581 m2,"10 Terry Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.0546,-37.73893,Sold at auction 21 November 2009,House
"$445,000
        price from APM PriceFinder",Land area 685 m2,"21 Lloyd Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.056564,-37.7446632,Sold by private treaty 11 May 2009,House
Price Withheld,Land area 691 m2,"10 Churchill Street, Heidelberg Heights VIC 3081",2,4,2,145.056534,-37.74598,Sold at auction 05 August 2017,House
Price Withheld,Land area 792 m2,"10 Bonar Street, Heidelberg Heights VIC 3081",2,4,1,145.055115,-37.7450676,Sold at auction 17 October 2015,House
Price Withheld,Land area 565 m2,"7 Frederick Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.0557,-37.7515564,Sold by private treaty 23 December 2013,House
Price Withheld,Land area 864 m2,"25 Myrtle Street, HEIDELBERG HEIGHTS VIC 3081",2,4,2,145.050735,-37.7562447,Sold at auction 26 March 2012,House
"$706,000",Land area 374 m2,"1 Shelley Street, Heidelberg Heights VIC 3081",2,4,1,145.050629,-37.7436562,Sold at auction 28 March 2017,House
Price Withheld,Land area 2434 m2,"225-227 Waiora Road, Heidelberg Heights VIC 3081",-,5,1,145.060562,-37.7301865,Sold by private treaty 16 September 2017,House
Price Withheld,Land area 972 m2,"119 Waiora Road, HEIDELBERG HEIGHTS VIC 3081",-,5,3,145.059,-37.7379379,Sold by private treaty 08 October 2013,House
Price Withheld,Land area 1370 m2,"65-67 Outhwaite Road, HEIDELBERG HEIGHTS VIC 3081",-,5,3,145.0525,-37.73992,Sold by private treaty 23 May 2014,House
"$901,500",Land area 673 m2,"53 Bamfield Road, Heidelberg Heights VIC 3081",1,5,2,145.055664,-37.7394867,Sold at auction 31 March 2017,House
"$950,000
        price from APM PriceFinder",Land area 717 m2,"60 St Hellier Street, HEIDELBERG HEIGHTS VIC 3081",1,5,3,145.051651,-37.7489624,Sold at auction 11 December 2010,House
"$1,587,500",Land area 601 m2,"78 Edwin Street, Heidelberg Heights VIC 3081",2,5,5,145.050537,-37.75211,Sold at auction 06 August 2016,House
"$685,000",Land area 599 m2,"24 Leonard Street, HEIDELBERG HEIGHTS VIC 3081",2,5,3,145.052582,-37.7476768,Sold by private treaty 06 August 2014,House
"$1,950,000",Land area 1858 m2,"122 Porter Road, HEIDELBERG HEIGHTS VIC 3081",2,5,2,145.058762,-37.7349663,Sold at auction 30 May 2015,House
"$1,051,000",Land area 1175 m2,"29 Alamein Road, Heidelberg West VIC 3081",-,1,1,145.041382,-37.7388725,Sold at auction 12 December 2015,House
"$525,000",Land area 592 m2,"5 Malahang Parade, Heidelberg West VIC 3081",-,1,1,145.046921,-37.7437363,Sold at auction 31 October 2015,House
