price,landsize,address,park,bed,bath,longitude,latitude,date,property_type
"$668,000",Internal area 90.00,"344/299 Spring Street, Melbourne VIC 3000",1,2,1,144.970947,-37.80788,Sold by private treaty 06 July 2017,Apartment / Unit / Flat
"$556,000",Internal area 70.00,"609/668 Bourke Street, Melbourne VIC 3000",1,2,1,144.9543,-37.8166122,Sold at auction 06 July 2017,Apartment / Unit / Flat
"$800,000","Land area 124 m2
Internal area 90.00","G17/61 Mackenzie Street, Melbourne VIC 3000",1,2,1,144.966263,-37.8078461,Sold by private treaty 03 July 2017,Apartment / Unit / Flat
"$521,000",Internal area 71.30,"1014/22-24 Jane Bell Lane, Melbourne VIC 3000",1,2,1,144.966263,-37.81022,Sold by private treaty 30 June 2017,Apartment / Unit / Flat
"$720,000",Internal area 86.00,"1814/250 Elizabeth Street, Melbourne VIC 3000",1,2,1,144.962921,-37.812645,Sold at auction 27 May 2017,Apartment / Unit / Flat
"$850,000",Internal area 134.00,"15/300 King Street, Melbourne VIC 3000",1,2,2,144.954529,-37.81318,Sold at auction 26 March 2017,Apartment / Unit / Flat
"$575,000",Land area 70 m2,"1008/225 Elizabeth Street, Melbourne VIC 3000",1,2,1,144.962311,-37.8132324,Sold by private treaty 10 March 2017,Apartment / Unit / Flat
"$540,000",Internal area 105,"1303/270 King Street, Melbourne VIC 3000",1,2,1,144.9548,-37.8137856,Sold by private treaty 13 January 2017,Apartment / Unit / Flat
"$670,000",Internal area 70,"3609/120 Abeckett Street, Melbourne VIC 3000",1,2,2,144.959686,-37.8094139,Sold by private treaty 03 December 2016,Apartment / Unit / Flat
"$315,888",Internal area 37,"622/585 la trobe Street, Melbourne VIC 3000",1,2,1,144.951828,-37.81328,Sold by private treaty 17 November 2016,Apartment / Unit / Flat
"$665,000",Internal area 90,"Level 12 8 Swanston Street, Melbourne VIC 3000",1,2,1,144.9631,-37.8058853,Sold at auction 05 November 2016,Apartment / Unit / Flat
"$645,000",Internal area 93.00,"75/33 La Trobe Street, Melbourne VIC 3000",1,2,2,144.970352,-37.8079071,Sold by private treaty 26 October 2016,Apartment / Unit / Flat
"$520,000",Internal area 56,"3102/33 Mackenzie Street, Melbourne VIC 3000",1,2,1,144.966858,-37.8074951,Sold by private treaty 06 September 2016,Apartment / Unit / Flat
"$526,000
        price from APM PriceFinder",Land area 59 m2,"2703/483 Swanston Street, Melbourne VIC 3000",1,2,1,144.962341,-37.8072166,Sold by private treaty 18 August 2016,Apartment / Unit / Flat
"$482,000",Land area 55 m2,"2008/620 Collins Street, Melbourne VIC 3000",1,2,1,144.954437,-37.8187675,Sold by private treaty 04 August 2016,Apartment / Unit / Flat
"$630,000",Internal area 75,"1507/483 Swanston Street, Melbourne VIC 3000",1,2,1,144.962418,-37.80715,Sold by private treaty 31 May 2016,Apartment / Unit / Flat
"$498,000
        price from APM PriceFinder",Land area 70 m2,"303/68 La Trobe  Street, Melbourne VIC 3000",1,2,1,144.9667,-37.80838,Sold by private treaty 27 May 2016,Apartment / Unit / Flat
"$612,000",Internal area 85,"900/668 Bourke St, Melbourne VIC 3000",1,2,2,144.954056,-37.8163834,Sold by private treaty 20 May 2016,Apartment / Unit / Flat
"$642,000
        price from APM PriceFinder","Land area 77 m2
Internal area 70","3904/22-24 Jane Bell Lane, Melbourne VIC 3000",1,2,1,144.9662,-37.8102036,Sold by private treaty 17 May 2016,Apartment / Unit / Flat
"$590,000","Land area 7.9 m2
Internal area 73","2208/668 Bourke Street, Melbourne VIC 3000",1,2,2,144.954056,-37.8163834,Sold by private treaty 12 May 2016,Apartment / Unit / Flat
"$588,000",Internal area 75,"3710/200 Spencer Street, Melbourne VIC 3000",1,2,1,144.953247,-37.8162537,Sold by private treaty 03 May 2016,Apartment / Unit / Flat
"$530,000
        price from APM PriceFinder","Land area 63 m2
Internal area 55","1609/25 Therry  Street, Melbourne VIC 3000",1,2,1,144.961075,-37.8067856,Sold by private treaty 21 April 2016,Apartment / Unit / Flat
"$645,000",Internal area 110,"1201/318 Little Lonsdale Street, Melbourne VIC 3000",1,2,2,144.960281,-37.8115768,Sold by private treaty 18 March 2016,Apartment / Unit / Flat
"$1,100,000",Land area 151 m2,"801/111 Hardware Street, Melbourne VIC 3000",1,2,2,144.960617,-37.8123779,Sold by private treaty 09 March 2016,Apartment / Unit / Flat
"$515,000
        price from APM PriceFinder",Land area 70 m2,"1205/68 La Trobe  Street, Melbourne VIC 3000",1,2,1,144.9667,-37.80838,Sold by private treaty 05 February 2016,Apartment / Unit / Flat
"$560,000",Internal area 91,"1705/28 Wills Street, Melbourne VIC 3000",1,2,1,144.957458,-37.8106956,Sold by private treaty 07 January 2016,Apartment / Unit / Flat
"$610,000",Internal area 90,"605/25-33 Wills Street, Melbourne VIC 3000",1,2,2,144.956924,-37.8108749,Sold by private treaty 04 January 2016,Apartment / Unit / Flat
"$515,000
        price from APM PriceFinder",Land area 71 m2,"1114/22-24 Jane Bell Lane, Melbourne VIC 3000",1,2,1,144.9662,-37.8102036,Sold by private treaty 09 December 2015,Apartment / Unit / Flat
"$620,000","Land area 70 m2
Internal area 65","1207/8 Franklin  Street, Melbourne VIC 3000",1,2,2,144.9621,-37.80754,Sold by private treaty 13 November 2015,Apartment / Unit / Flat
"$680,000",Internal area 82,"1403/218 A'Beckett Street, Melbourne VIC 3000",1,2,2,144.956787,-37.81042,Sold by private treaty 11 November 2015,Apartment / Unit / Flat
"$465,000
        price from APM PriceFinder",Internal area 90,"5/75 Queens Road, Melbourne VIC 3000",1,2,1,144.979721,-37.85255,Sold by private treaty 10 November 2015,Apartment / Unit / Flat
"$470,000","Land area 8 m2
Internal area 76","401/610 St Kilda Road, Melbourne VIC 3000",1,2,2,144.980484,-37.8519974,Sold by private treaty 27 October 2015,Apartment / Unit / Flat
"$825,000
        price from APM PriceFinder",Land area 91 m2,"3803/27 Therry  Street, Melbourne VIC 3000",1,2,2,144.961044,-37.8067932,Sold by private treaty 12 October 2015,Apartment / Unit / Flat
"$560,000",Internal area 91,"805/28 Wills Street, Melbourne VIC 3000",1,2,1,144.957458,-37.8106956,Sold by private treaty 05 October 2015,Apartment / Unit / Flat
"$850,000
        price from APM PriceFinder",Internal area 103,"1909/265 Exhibition Street, Melbourne VIC 3000",1,2,2,144.969238,-37.8095741,Sold at auction 03 September 2015,Apartment / Unit / Flat
"$520,000",Internal area 100,"904/270 King Street, MELBOURNE VIC 3000",1,2,1,144.954926,-37.8137245,Sold by private treaty 03 August 2015,Apartment / Unit / Flat
"$645,000
        price from APM PriceFinder",Internal area 95,"205/400 St Kilda Road, Melbourne VIC 3000",1,2,2,144.974167,-37.8344955,Sold at auction 27 July 2015,Apartment / Unit / Flat
"$470,000",Internal area 79,"1205/82 Queens Road, Melbourne VIC 3000",1,2,2,144.980286,-37.854023,Sold by private treaty 14 April 2015,Apartment / Unit / Flat
"$595,000
        price from APM PriceFinder",Internal area 88,Melbourne VIC 3000,1,2,2,144.963943,-37.8152046,Sold by private treaty 23 March 2015,Apartment / Unit / Flat
"$951,000",Land area 145 m2,"16/50 Bourke Street, MELBOURNE VIC 3000",1,2,2,144.9717,-37.81138,Sold by private treaty 24 February 2015,Apartment / Unit / Flat
"$505,000",Internal area 66,"1314/22-24 Jane Bell Lane, MELBOURNE VIC 3000",1,2,1,144.9662,-37.8102036,Sold by private treaty 20 January 2015,Apartment / Unit / Flat
"$530,000
        price from APM PriceFinder",Internal area 87,"1107/565 Flinders Street, MELBOURNE VIC 3000",1,2,2,144.955765,-37.8212929,Sold by private treaty 06 November 2014,Apartment / Unit / Flat
"$615,000",Internal area 98,"2305/25 Wills Street, MELBOURNE VIC 3000",1,2,2,144.957214,-37.8107872,Sold by private treaty 21 August 2014,Apartment / Unit / Flat
"$610,000
        price from APM PriceFinder",Internal area 85,"502/87 Franklin Street, Melbourne VIC 3000",1,2,1,144.961777,-37.80816,Sold at auction 01 March 2014,Apartment / Unit / Flat
"$770,000
        price from APM PriceFinder",Internal area 102,"903/181 Exhibition Street, Melbourne VIC 3000",1,2,2,144.9699,-37.8114853,Sold at auction 28 February 2014,Apartment / Unit / Flat
"$400,000
        price from APM PriceFinder",Internal area 68,"715/585 La Trobe Street, MELBOURNE VIC 3000",1,2,1,144.951889,-37.81337,Sold by private treaty 15 January 2014,Apartment / Unit / Flat
"$537,000
        price from APM PriceFinder",Internal area 70,"2709/200 Spencer Street, Melbourne VIC 3000",1,2,2,144.9531,-37.8163643,Sold by private treaty 03 September 2013,Apartment / Unit / Flat
"$547,000","Land area 87 m2
Internal area 78 m2","2105/222 Russell Street, Melbourne VIC 3000",1,2,1,144.9676,-37.811348,Sold by private treaty 06 July 2013,Apartment / Unit / Flat
"$545,000
        price from APM PriceFinder","Land area 83 m2
Internal area 77","506/95 Berkeley Street, MELBOURNE VIC 3000",1,2,2,144.95903,-37.80318,Sold by private treaty 23 June 2013,Apartment / Unit / Flat
"$520,000
        price from APM PriceFinder",Land area 0 m2,"2202 280 Spencer Street, Melbourne VIC 3000",1,2,1,144.952,-37.8138962,Sold by private treaty 12 April 2013,Apartment / Unit / Flat
"$575,000
        price from APM PriceFinder",Land area 87 m2,"2511/87 Franklin Street, MELBOURNE VIC 3000",1,2,1,144.961777,-37.80816,Sold by private treaty 25 February 2013,Apartment / Unit / Flat
"$552,000
        price from APM PriceFinder",Internal area 88,"2111/87 Franklin Street, Melbourne VIC 3000",1,2,1,144.961777,-37.80816,Sold at auction 09 February 2013,Apartment / Unit / Flat
"$505,000
        price from APM PriceFinder",Internal area 74,"1703/280 Spencer Street, Melbourne VIC 3000",1,2,1,144.952,-37.8138962,Sold by private treaty 17 January 2013,Apartment / Unit / Flat
